ourCustomSKU,competitor_price,updated_at_est_time,tags
BRITNSPRIVSW-100B,23.95,2021-02-08 6:01,"cf-type-women, perfume"
BOWGREENM-100B,17.95,2022-04-03 7:37,"cf-type-men, perfume"
CKIN2UM-100T,20.85,2022-10-20 21:49,"26MAY221, NP18JUN22, NS7MAY, NSPRICE9AUG2, PREXMAS21, Price170, Update5, Update6"
BLAOPFLORSW-50B,90.95,2021-11-29 18:06,"26MAY223, BLACKFRIDAY2021, NSPRICE9AUG5, PRICE2SEP"
TOMFBEAUJM-50B,137.95,2022-10-16 2:03,"12DECC2020, BLACKFRIDAY2021, NS6JUN22, NSPRICE9AUG10, Update11"
JIMCM-100T,37.35,2022-10-18 12:56,"20julyy2021aj, 26MAY221, 26MAY222, 26MAY227, BLACKFRIDAY2021, NP18JUN222, NP19JUN22, NS19AUG22, NS20JULY22, NS21APR22, NS2AUG22, NS6MAY, NSPRICE19OCT22, NSPRICE9AUG3, po124, PREXMAS21, Update22, Update3, Update7"
JADEW-100B,157.55,2022-10-19 16:32,"14SEPP2021, 19OCTT21, 26MAY221, 26MAY227, Black-Friday, BLACKFRIDAY2021, cf-type-women, NS2AUG22, NSPRICE9AUG1, perfume, PM21J, PREXMAS21, Update14, Update15, Update16, Update17"
HUGBBIM-100T,99.99,2022-09-25 13:10,"LAND17MAR, PRICESHEET1"
ESCTURQSUMM-100T,41.95,2022-04-05 10:58,"26MAY221, NSPRICE9AUG2, PREXMAS21, PRICESHEET1, Update10"
TATW-100B,24.95,2019-08-02 4:37,"cf-type-women, perfume"
LALINSM-100B,44.95,2022-03-22 15:31,"25JULY2020, 3SEP2020, BLACKFRIDAY2021, PM21J, Update1, Update10, Update21"
JOOM-75B,23.75,2022-10-21 12:42,"26MAY222, BLACKFRIDAY2021, LAND17MAR, NP18JUN222, NP19JUN22, NP21JUN22, NSPRICE26SEP22, NSPRICE9AUG3, PM21J, PREXMAS21, PRICE2SEP, Update6, Update8"
GUCFEW-75B,84.45,2021-03-10 10:58,"22OCCT2020, Price170"
PARHCCW-100B,29.65,2022-06-03 11:33,"3JUNN2021, BLACKFRIDAY2021, NP19JUN22, NS20JULY22, PM21J, PM21J1, PREXMAS21, Price170, Update21, Update3, Update6"
BLUJLW-100B,26.65,2022-10-22 4:47,"BLACKFRIDAY2021, cf-type-women, NSPRICE9AUG2, perfume, PM21J, PREXMAS21, Update8"
PASDCARPARM-100B,96.95,2021-10-27 9:19,"27OCTT2021, 4MAY2020, Update14"
