"Variant SKU","Selling Price",LandingPage
PCEYDRUGM-100B,46.95,https://fragrancebuy.ca/products/pariscorneremiryouredrugged-man?variant=39928817647678
PCEMIWHSGHIM-100B,46.95,https://fragrancebuy.ca/products/pariscorneremirwhensoulgetshigh-man?variant=39928817254462
PCBLAFEDPM-80B,46.95,https://fragrancebuy.ca/products/pariscornerblendafgano-man?variant=39928553799742
PCIOSAFEDPM-100B,35.00,https://fragrancebuy.ca/products/pariscornerintenseoudsaffron-man?variant=39928552947774
PCEMFYDEDPM-100B,46.95,https://fragrancebuy.ca/products/pariscorneremirfireyourdesire-man?variant=39928552357950
MYPOUDALSAM-100B,55.00,https://fragrancebuy.ca/products/myperfumesoudalsaqr-man?variant=39928550752318
MYPLEGAM-100B,39.95,https://fragrancebuy.ca/products/myperfumeslegazelleacoustic-man?variant=39928548458558
MYPPPROUDM-100B,39.95,https://fragrancebuy.ca/products/myperfumesarabiyatprestigepurpleoud-man?variant=39928545771582
SFERBLEAEDTM-100B,79.95,https://fragrancebuy.ca/products/salvatoreferragamobrightleather-man?variant=39923391725630
LAREHNEBEDPM-10B,49.99,https://fragrancebuy.ca/products/lattafapridenebras-man?variant=39923386843198
GUCFGGEDPW-100B,149.00,https://fragrancebuy.ca/products/guccifloragorgeousgardeniaedpedition-woman?variant=39923169722430
AF9PMFEMEDPW-100B,43.95,https://fragrancebuy.ca/products/afnan9pmfemme-woman?variant=39916335628350
AF9AMFEEDPW-100B,45.00,https://fragrancebuy.ca/products/afnan9amfemme-woman?variant=39916332548158
REYPULPAREYM-90B,59.95,https://fragrancebuy.ca/products/insurrectionpureiileparfumbyreyane-man?variant=39915739480126
REYINSAGEDTM-100B,27.95,https://fragrancebuy.ca/products/insurrectionambergoldbyreyane-man?variant=39915734106174
CARLSPUHIM-125B,99.00,https://fragrancebuy.ca/products/caronpourunhommeintense-man?variant=39903456231486
JOOPLEBAIEDPW-75T,27.95,https://fragrancebuy.ca/products/jooplebain-woman?variant=39903325618238
DIORROUTM-125B,385.00,https://fragrancebuy.ca/products/diorrougetrafalgar-woman?variant=39903291998270
DIOREDROCM-250B,500.00,https://fragrancebuy.ca/products/dioredenroc-man?variant=39903264964670
THASCEEXTM-50B,219.00,https://fragrancebuy.ca/products/thameensceptre-man?variant=39903178457150
THAPTEXTW-50B,169.00,https://fragrancebuy.ca/products/thameenpeacockthrone-woman?variant=39903155716158
THANTAIFEXTW-50B,199.00,https://fragrancebuy.ca/products/thameennoorolaintaif-woman?variant=39903146377278
THAIMCREXTM-50B,219.00,https://fragrancebuy.ca/products/thameenimperialcrown-man?variant=39903127863358
THAGPEXTM-50B,135.00,https://fragrancebuy.ca/products/thameengreenpearl-man?variant=39903110889534
THAMROEXTM-50B,179.00,https://fragrancebuy.ca/products/thameenamberroom-man?variant=39903100371006
BOTVBONFHM-50B,77.00,https://fragrancebuy.ca/products/bottegavenetaboisnuforhim-man?variant=39903085232190
GOLBANPRMM-50B,119.00,https://fragrancebuy.ca/products/goldfieldbankspacificrockmoss-man?variant=39903023759422
